timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2018-04-24,1440.39601953,1568.26102937,1395.70248117,1412.73853936,1440.39601953,1568.26102937,1395.70248117,1412.73853936,240899.89113543,340328560.33389461
2018-04-23,1195.62164782,1446.40883861,1195.25683861,1429.67618975,1195.62164782,1446.40883861,1195.25683861,1429.67618975,221723.89573093,316993374.42570919
2018-04-22,1153.99004146,1252.39358657,1114.62100769,1195.52092613,1153.99004146,1252.39358657,1114.62100769,1195.52092613,122363.48088228,146288101.98908249
2018-04-21,1123.69932151,1180.51695870,1019.60686409,1151.44906792,1123.69932151,1180.51695870,1019.60686409,1151.44906792,138764.12829691,159779826.18760443
2018-04-20,964.25531428,1138.60473736,947.56915502,1124.12686933,964.25531428,1138.60473736,947.56915502,1124.12686933,147410.93910850,165708597.48494396
2018-04-19,893.13309539,977.11486003,879.24951063,965.51462341,893.13309539,977.11486003,879.24951063,965.51462341,94555.05502153,91294288.34108239
2018-04-18,758.28179876,898.35283051,758.28179876,892.55794222,758.28179876,898.35283051,758.28179876,892.55794222,94976.71183893,84772218.47749327
2018-04-17,765.46833485,782.62674684,755.02817349,758.17893424,765.46833485,782.62674684,755.02817349,758.17893424,42968.65670322,32577930.34487986
2018-04-16,780.41980097,795.24906683,746.23091743,764.46720808,780.41980097,795.24906683,746.23091743,764.46720808,52616.75245780,40223781.84942095
2018-04-15,735.28151373,784.51954451,735.28151373,780.03074059,735.28151373,784.51954451,735.28151373,780.03074059,43122.58763686,33636943.97044675
2018-04-14,742.72166275,759.47699002,724.86262700,735.33748736,742.72166275,759.47699002,724.86262700,735.33748736,38632.32193240,28407794.54047236
2018-04-13,734.47455559,781.67477630,720.99662685,742.72117218,734.47455559,781.67477630,720.99662685,742.72117218,69936.70448513,51943471.13382614
2018-04-12,664.66110199,733.92428000,661.30094823,733.92428000,664.66110199,733.92428000,661.30094823,733.92428000,87409.64591806,64152061.44532906
