timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2018-04-24,1.00003166,1.00009643,0.99999920,1.00004285,1.00003166,1.00009643,0.99999920,1.00004285,81180165.86905339,81183644.15922613
2018-04-23,1.00005235,1.00009955,1.00000704,1.00003268,1.00005235,1.00009955,1.00000704,1.00003268,66008057.43899167,66010214.79816531
2018-04-22,1.00000431,1.00009509,1.00000055,1.00005339,1.00000431,1.00009509,1.00000055,1.00005339,44234549.56053384,44236911.16774958
2018-04-21,1.00006265,1.00179201,0.99999992,1.00003260,1.00006265,1.00179201,0.99999992,1.00003260,69501567.02091837,69503832.83603340
2018-04-20,1.00002760,1.00005905,0.99998769,1.00005905,1.00002760,1.00005905,0.99998769,1.00005905,60960037.59656119,60963637.19948523
2018-04-19,1.00002780,1.00011228,1.00000716,1.00002516,1.00002780,1.00011228,1.00000716,1.00002516,29595762.43694380,29596507.01451756
2018-04-18,0.99996853,1.00046306,0.99994882,1.00002285,0.99996853,1.00046306,0.99994882,1.00002285,25724468.48282056,25725056.21998938
2018-04-17,1.00002252,1.00017744,0.99996293,0.99996863,1.00002252,1.00017744,0.99996293,0.99996863,22415902.20875234,22415199.03414350
2018-04-16,1.00001820,1.00065646,0.99990913,1.00004600,1.00001820,1.00065646,0.99990913,1.00004600,36838257.55648230,36839952.01087211
2018-04-15,1.00002820,1.00006591,0.99997391,1.00001931,1.00002820,1.00006591,0.99997391,1.00001931,27119413.70208505,27119937.30905386
2018-04-14,1.00003856,1.00009816,1.00001043,1.00001571,1.00003856,1.00009816,1.00001043,1.00001571,27273523.83360200,27273952.17108983
2018-04-13,1.00001524,1.00018799,0.99999142,1.00003590,1.00001524,1.00018799,0.99999142,1.00003590,64638967.90382861,64641288.64934368
2018-04-12,1.00003259,1.00007457,0.99995954,1.00001588,1.00003259,1.00007457,0.99995954,1.00001588,100437586.86595669,100439181.80723436
2018-04-11,1.00003808,1.00138964,0.99998068,1.00003784,1.00003808,1.00138964,0.99998068,1.00003784,21420246.67267698,21421057.12243910
2018-04-10,1.00003507,1.00005296,0.99999175,1.00004175,1.00003507,1.00005296,0.99999175,1.00004175,19176649.32926627,19177449.90064959
2018-04-09,0.99995102,1.00023917,0.99992728,1.00003508,0.99995102,1.00023917,0.99992728,1.00003508,31646960.86144352,31648070.94171174
2018-04-08,1.00022820,1.00225079,0.99968353,0.99994558,1.00022820,1.00225079,0.99968353,0.99994558,12773445.82898945,12772750.68617596
2018-04-07,1.00004550,1.00030342,0.99989773,1.00022598,1.00004550,1.00030342,0.99989773,1.00022598,30453154.61195622,30460036.33061488
2018-04-06,1.00005955,1.00009493,0.99996655,1.00001198,1.00005955,1.00009493,0.99996655,1.00001198,21167747.40607371,21168001.03257229
2018-04-05,1.00009186,1.00020385,0.99999367,1.00007005,1.00009186,1.00020385,0.99999367,1.00007005,25952736.36935860,25954554.25998880
2018-04-04,1.00013940,1.00087710,0.99999653,1.00009316,1.00013940,1.00087710,0.99999653,1.00009316,60780049.36683515,60785711.88480949
2018-04-03,1.00003386,1.00018749,1.00002476,1.00014789,1.00003386,1.00018749,1.00002476,1.00014789,32320766.04789304,32325546.01968232
2018-04-02,1.00006805,1.00217669,0.99994040,1.00003418,1.00006805,1.00217669,0.99994040,1.00003418,38151503.42053790,38152807.55818457
2018-04-01,1.00001274,1.00012860,0.99957224,1.00006807,1.00001274,1.00012860,0.99957224,1.00006807,22629844.10692759,22631384.49933756
2018-03-31,0.99993285,1.00008177,0.99824436,1.00001174,0.99993285,1.00008177,0.99824436,1.00001174,31883138.98024606,31883513.36213714
2018-03-30,0.99993511,1.00005863,0.99982886,0.99993547,0.99993511,1.00005863,0.99982886,0.99993547,98288509.68157552,98282167.48715058
2018-03-29,1.00002321,1.00007902,0.99913421,0.99993333,1.00002321,1.00007902,0.99913421,0.99993333,77850022.17315568,77844831.56832218
2018-03-28,1.00011733,1.00018716,1.00001253,1.00002695,1.00011733,1.00018716,1.00001253,1.00002695,74940523.25291072,74942542.93206677
2018-03-27,1.00007666,1.00015434,1.00002734,1.00011176,1.00007666,1.00015434,1.00002734,1.00011176,73738086.18857206,73746327.45364755
2018-03-26,1.00007790,1.00012050,1.00001822,1.00007550,1.00007790,1.00012050,1.00001822,1.00007550,66023029.10348412,66028013.68005496
2018-03-25,1.00007452,1.00011310,1.00001026,1.00007680,1.00007452,1.00011310,1.00001026,1.00007680,25652499.04177098,25654469.03473744
