timestamp,price (USD),price (USD),volume,market cap (USD)
2018-04-26 12:55:00,1.00005889,1.00005889,103301399.48598820,103307483.01007999
2018-04-26 12:50:00,1.00006040,1.00006040,103304346.07630128,103310585.60364000
2018-04-26 12:45:00,1.00006162,1.00006162,103318283.60142547,103324649.75678000
2018-04-26 12:40:00,1.00005971,1.00005971,103318651.88834476,103324820.79118000
2018-04-26 12:35:00,1.00005979,1.00005979,103338311.30706547,103344490.04310000
2018-04-26 12:30:00,1.00006366,1.00006366,103328124.50111991,103334702.69790000
2018-04-26 12:25:00,1.00010244,1.00010244,103329287.80583104,103339872.49017000
2018-04-26 12:20:00,1.00006820,1.00006820,103329898.36537799,103336945.19238000
2018-04-26 12:15:00,1.00008791,1.00008791,103080487.90141837,103089549.25518000
2018-04-26 12:10:00,1.00008779,1.00008779,103052133.16454558,103061180.19789000
2018-04-26 12:05:00,1.00008634,1.00008634,103004046.31933025,103012939.18132000
2018-04-26 12:00:00,1.00011435,1.00011435,103005570.14210077,103017349.01203001
2018-04-26 11:55:00,1.00009021,1.00009021,103011274.87090535,103020567.64920001
2018-04-26 11:50:00,1.00008979,1.00008979,102955131.38589263,102964375.80284999
2018-04-26 11:45:00,1.00006741,1.00006741,102975370.85142995,102982312.34676000
2018-04-26 11:40:00,1.00007218,1.00007218,102778350.79474673,102785769.13714001
2018-04-26 11:35:00,1.00010212,1.00010212,102345481.18852699,102355932.67881000
2018-04-26 11:30:00,1.00008694,1.00008694,102196011.47972147,102204895.92147000
2018-04-26 11:25:00,1.00010267,1.00010267,102194159.44716345,102204652.13867000
2018-04-26 11:20:00,1.00010304,1.00010304,102214110.09937611,102224642.23666000
2018-04-26 11:15:00,1.00012954,1.00012954,102235372.12932755,102248615.99857000
2018-04-26 11:10:00,1.00011539,1.00011539,101858045.72906429,101869799.25931001
2018-04-26 11:05:00,1.00011308,1.00011308,101878274.62331887,101889794.54020999
2018-04-26 11:00:00,1.00012114,1.00012114,101884074.94444676,101896416.69052000
